event_time,n_obs,beta_hc1,se_hc1,beta_cluster,se_cluster,beta_hac,se_hac
-6,0,,,,,,
-5,231,-0.028375692484526992,0.009159143976848434,-0.028375692484526992,0.009393084572847103,-0.028375692484526992,0.009276917862871438
-4,231,-0.015740762253335348,0.009338796593010826,-0.015740762253335348,0.009023861993626803,-0.015740762253335348,0.009188753869170736
-3,231,-0.0277458809118478,0.012425734712411821,-0.0277458809118478,0.009476510657939644,-0.0277458809118478,0.011621720484265526
-2,231,0.007823223478701912,0.01647072097634078,0.007823223478701912,0.009841584410933536,0.007823223478701912,0.01393372531725394
-1,231,-0.010969000592535215,0.021092774246790184,-0.010969000592535215,0.016697605969158067,-0.010969000592535215,0.019629556433787828
0,231,-0.034223653297344364,0.02353912000282192,-0.034223653297344364,0.020261686159663835,-0.034223653297344364,0.021675803433224314
1,231,-0.0504697325055055,0.019800112146291675,-0.0504697325055055,0.022416105051945585,-0.0504697325055055,0.020116947170312306
2,231,-0.01634673546500702,0.014677991209139919,-0.01634673546500702,0.014110253919346024,-0.01634673546500702,0.013800675894787598
3,231,-0.019858028134406087,0.012320798480118115,-0.019858028134406087,0.00997654662040015,-0.019858028134406087,0.011003373312744048
4,231,-0.015541987068384288,0.011551487156522955,-0.015541987068384288,0.00879798484303693,-0.015541987068384288,0.012226780751016703
5,231,-0.0011008201902359543,0.013481742123314558,-0.0011008201902359543,0.013285998748128752,-0.0011008201902359543,0.014157807503458228
6,231,0.0003873491575692409,0.010687393620170056,0.0003873491575692409,0.008317786447178468,0.0003873491575692409,0.009798315106398933
